,id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type
493,44AyOl4qVkzS48vBsbNXaC,Can't Help Falling in Love,80,track,False,False,182360,1,5,43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,7xe8VI48TxUpU1IIo0RfGi,Blue Hawaii,1961-10-20,14,album
494,5aAx2yezTd8zXrkmtKl66Z,Starboy,0,track,False,True,230453,1,1,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,09fggMHib4YkOtwQNXEBII,Starboy,2016-11-25,18,album
495,0gVcauBja2DHwCzrqAVXg1,Sigarette,46,track,False,False,184146,1,6,54dqxLAclwu0QSaTwCyCaF,Neffa,54dqxLAclwu0QSaTwCyCaF,Neffa,1t6lTVG7DFG3wqtdN2JCbI,Resistenza Edizione Speciale,2016-02-12,15,album
496,2YSwT1dsBBommgdxywislY,Headlights,0,track,False,False,226419,1,6,6HCZOENaZRSdEWQVSN8vzL,Tor Miller,6HCZOENaZRSdEWQVSN8vzL,Tor Miller,4h9RFT48C2lGNdlmprRs7o,American English,2016-09-30,13,album
497,6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,81,track,False,False,261153,1,2,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,album
498,7qiZfU4dY1lWllzX7mPBI3,Shape of You,88,track,False,False,233712,1,4,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,album
499,0tgVpDi06FyKpA1z0VMD4v,Perfect,89,track,False,False,263400,1,5,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,album
500,2pJZ1v8HezrAoZ0Fhzby92,What Do I Know?,71,track,False,False,237333,1,10,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,album
501,4l9gNfeexV0FJ7traSwtNf,This Is The Last Time,0,track,False,False,209266,1,9,53A0W3U0s8diEn9RhXQhVz,Keane,53A0W3U0s8diEn9RhXQhVz,Keane,5QqVXRTiGpLgmo1YNoz9Bk,Hopes and Fears (Deluxe Edition),2009-01-01,37,album
502,4IWAyPf1KMq7JCyGeCjTeH,Whatever It Takes,0,track,False,False,201240,1,2,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,5GlPAy2PRJW06GVFhKwGTl,Evolve,2017-06-23,11,album
